from,tokenid,amount
0xC8e66291fC15B6392d56ac2EF3dB3Ce4fd8c070A,226,257.0
0x9aC0A2C799713233e8329e7267b2f7b4EcFb2C5f,227,150.0
0x932654BC075A69AD65CFc76BA01C4ac3621D1598,228,245.0
0x5C461A0C595d6B2a4b0f4a42fD55bE7aAeD8aF80,229,200.0
0x5C461A0C595d6B2a4b0f4a42fD55bE7aAeD8aF80,231,265.0
0x5B4F87CADC9625CB9B9cFf449324D204e799D19a,232,255.0
0x5dEA32A50c15087352F09c079076c8eB0f46E36C,233,455.0
0x5dEA32A50c15087352F09c079076c8eB0f46E36C,234,488.0
0x1b35fcb58F5E1e2a42fF8E66ddf5646966aBf08C,235,321.0
0x85062899d110f317dff236348D6aaCD43ade1cA0,236,450.0
0x8AfcEE41a79541fb220682dbb406f474EC1F22A7,237,185.0
0x1b35fcb58F5E1e2a42fF8E66ddf5646966aBf08C,238,283.0
0x082163EbdDbf26E0a5c74123DAdaE25Fe1b614Da,239,340.0
0x1b35fcb58F5E1e2a42fF8E66ddf5646966aBf08C,241,382.5
0x9821B66d1F6C0CaeCb7a3F97b501d0FbbE72c284,242,500.0
0xed6b3dc95E6E41156cde61A206668935d7e958a4,243,400.0
0x1b35fcb58F5E1e2a42fF8E66ddf5646966aBf08C,244,313.0
0xB835367ae1CaFCEa58a10A51b17Fea25d16c3daB,245,250.0
0x2fcC020F72E5d2EdD2a24D04f3Dc90D7fDFbD1DD,246,656.0
0x0c3F713890EDA64c55DB1d32d6A08e4876ad3AC2,247,300.0
0xED0dD71EAF964e8e4f1Ee599863134c2F52F9B16,248,204.0
0xb38526d039dB76F9826DEbcdcE2a1dCB90eF8a97,249,1500.0
0xA77867A711123636D418217164BB97A4Def6f73a,251,522.24
0x7911670881A81F8410d06053d7B3c237cE77b9B4,252,575.0
0x837Dfd7d2522e9cDAc1b58C03C0B07c18d8d3DAc,253,420.0
0xaee394a8e28bE8b27D9a08e80c9A8aD6D72e52A6,254,300.0
0x2Ad6F45dba839f37612927C8a35052B50d7D4C0C,255,350.0
0xC2ee696418E04c8fE8cd355E985A601822A60130,256,420.0
0xb38526d039dB76F9826DEbcdcE2a1dCB90eF8a97,257,200.0
0x2Ad6F45dba839f37612927C8a35052B50d7D4C0C,258,320.0
0x5Ed9e63Ea642DB16B3B6A58E3F867668178ac222,259,275.0
0x2891F651ffb4706A3ACFE3d9c889Ea83E2bd6582,261,300.0
0xcada1A8378Ec627790433fcDe0F2a06Ec431d4C0,262,220.0
0x1b35fcb58F5E1e2a42fF8E66ddf5646966aBf08C,263,291.0
0xbdadf9591A183c2f761745884a763eE4Ff180E50,264,480.0
0x2891F651ffb4706A3ACFE3d9c889Ea83E2bd6582,265,500.0
0x99999990D598B918799f38163204Bbc30611B6b6,266,333.0
0x2891F651ffb4706A3ACFE3d9c889Ea83E2bd6582,267,300.0
0x2891F651ffb4706A3ACFE3d9c889Ea83E2bd6582,268,320.0
0x2Ad6F45dba839f37612927C8a35052B50d7D4C0C,269,269.0
0xb1275d936b76df0092181aeDd1b9DB0dE7175590,271,249.0
0xe0dDa4f11dA57F5b01D360072Ca1627Ea5bf93df,272,123.0
0xA12a635362203c561845f1090BFf55DB0B980aA7,273,140.0
0xA12a635362203c561845f1090BFf55DB0B980aA7,274,130.0
0x1F11eCfa5AaFb66315dcF57C7bB7DcA9a079DDBe,275,280.0
0x2fcC020F72E5d2EdD2a24D04f3Dc90D7fDFbD1DD,276,276.0
0x1b35fcb58F5E1e2a42fF8E66ddf5646966aBf08C,277,422.0
0xC24D5B145C21f570A38CbB95CFD8EbB923182732,278,130.0
0x0e7854240f7760B0Af10619B689Ef10631b636a7,279,200.0
0xD755A8d0c72b379F445AB17fe60af9a76EAAD221,281,195.0
0xC24D5B145C21f570A38CbB95CFD8EbB923182732,282,200.0
0x8D41f4EE72Fe9E79f8c424fE169f3EE11A733289,283,210.0
0xCa59816e0D83aD19B6a30779CAC6ebbBb12baDCe,284,240.0
0x8D41f4EE72Fe9E79f8c424fE169f3EE11A733289,285,215.0
0xD755A8d0c72b379F445AB17fe60af9a76EAAD221,286,210.0
0x932654BC075A69AD65CFc76BA01C4ac3621D1598,287,185.0
0xC982EC5717974Aa424A4b0FF9c8C63dC9C85Cf3a,288,120.0
0xC982EC5717974Aa424A4b0FF9c8C63dC9C85Cf3a,289,140.0
0x5400A7C562E21e50f048b0e99a016FfAF82a6de3,291,145.0
0xD755A8d0c72b379F445AB17fe60af9a76EAAD221,292,113.0
0xad8e2d29CD687072654452514BAda4B223d15c80,293,150.0
0xad8e2d29CD687072654452514BAda4B223d15c80,294,210.0
0xad8e2d29CD687072654452514BAda4B223d15c80,295,200.0
0x41EfF5A991998dc54F9e63Cc1bFCcFc794056196,296,220.0
0xa161f191de22191bBB83f6D9f6Ba1b702425A173,297,200.0
0xD755A8d0c72b379F445AB17fe60af9a76EAAD221,298,100.0
0xcD01A3acED67e266be21117376C7025B384Cd4d7,299,160.0
0xAEc2e770042682BD086e27A87A1eD2D75A5c8d15,301,100.0
0xAEc2e770042682BD086e27A87A1eD2D75A5c8d15,302,120.0
0x1f916bBF39aB189A9E3d9E1823a7b1A8e9e5f204,303,175.0
0x5fA275BA9F04BDC906084478Dbf41CBE29388C5d,304,169.0
0x5A029adb159ec5f1b41B34cb13D205390576Bf66,305,120.0
0xAEc2e770042682BD086e27A87A1eD2D75A5c8d15,306,115.0
0xCF3aa9cDf475358c72D057B95652F887f24caad1,307,200.0
0xf2d2C0F3492Bbde32612e29315D555e692F9540F,308,200.0
0xe0FEe61dD3f51eA3A56637a35A3bde309A6A4034,309,170.0
0xB835367ae1CaFCEa58a10A51b17Fea25d16c3daB,311,210.0
0xf2d2C0F3492Bbde32612e29315D555e692F9540F,312,230.0
0xf2d2C0F3492Bbde32612e29315D555e692F9540F,313,130.0
0xa011b60A5BFBDbA5cBF0f3c022AC9a2bb9Bf7B5E,314,136.0
0xB5D26158102181dc4ceee75f260A60Debd752E45,315,200.0
0xa011b60A5BFBDbA5cBF0f3c022AC9a2bb9Bf7B5E,316,110.0
0xAEc2e770042682BD086e27A87A1eD2D75A5c8d15,317,102.0
0x1b35fcb58F5E1e2a42fF8E66ddf5646966aBf08C,318,221.0
0xF9Ab010479644cc54A2a40e54aC25168b5044a5e,319,125.0
0x3E1802666e61DE27EcdfD79Af17423Fb53D7F147,321,118.32
0x1b35fcb58F5E1e2a42fF8E66ddf5646966aBf08C,322,268.0
0xAFb4BCE970b77222a74D240294Bd67216114b8eB,323,150.0
0x6e25DbdE7774e19b499806560A89330f9BD5656a,324,151.0
0x99999990D598B918799f38163204Bbc30611B6b6,325,222.0
0x6e25DbdE7774e19b499806560A89330f9BD5656a,326,154.0
0x6e25DbdE7774e19b499806560A89330f9BD5656a,327,169.0
0xAFb4BCE970b77222a74D240294Bd67216114b8eB,328,120.0
0x6e25DbdE7774e19b499806560A89330f9BD5656a,329,203.0
0x3854BEC598caE635F99C545DE0bCeCB37fFFE23e,331,177.0
0x0c3F713890EDA64c55DB1d32d6A08e4876ad3AC2,332,220.0
0x2fcC020F72E5d2EdD2a24D04f3Dc90D7fDFbD1DD,333,188.0
0x0c3F713890EDA64c55DB1d32d6A08e4876ad3AC2,334,220.0
0x2fcC020F72E5d2EdD2a24D04f3Dc90D7fDFbD1DD,335,180.0
0x2fcC020F72E5d2EdD2a24D04f3Dc90D7fDFbD1DD,336,444.0
0x3854BEC598caE635F99C545DE0bCeCB37fFFE23e,337,222.0
0x2fcC020F72E5d2EdD2a24D04f3Dc90D7fDFbD1DD,338,169.0
0x04B7E38066634231A6c0f6572e65f12840Dc424f,339,240.0
0xa2690d71a775BF4C49f3a4ac70C743cD6A81c7a2,341,206.04
0xB6B10bF84314A8a9FADBb61434b2675d9877e713,342,206.0
0xB835367ae1CaFCEa58a10A51b17Fea25d16c3daB,343,115.0
0xB13a255A3164B69E40c3dbDfda972399163c51Fd,344,500.0
0xe0FEe61dD3f51eA3A56637a35A3bde309A6A4034,345,150.0
0x1554056804B35C564e7b07B193d36Caf79A4f52F,346,200.0
0x1554056804B35C564e7b07B193d36Caf79A4f52F,347,104.0
0xe0FEe61dD3f51eA3A56637a35A3bde309A6A4034,348,300.0
0xB835367ae1CaFCEa58a10A51b17Fea25d16c3daB,349,130.0
0xe0FEe61dD3f51eA3A56637a35A3bde309A6A4034,351,120.0
0x5C96D746033d1AB7dc3E00aD7883B5daFF1540EB,352,147.0
