from,tokenid,amount
0x61aCd9FB7faE3C8026B868cbD4E00c2bD22908b4,9,1683
0xB5D26158102181dc4ceee75f260A60Debd752E45,9,1800
0xa2690d71a775BF4C49f3a4ac70C743cD6A81c7a2,9,1769
0x5C461A0C595d6B2a4b0f4a42fD55bE7aAeD8aF80,9,1984
0xB5D26158102181dc4ceee75f260A60Debd752E45,9,2100
0x61aCd9FB7faE3C8026B868cbD4E00c2bD22908b4,9,2100
0x61aCd9FB7faE3C8026B868cbD4E00c2bD22908b4,9,2200
0xC24D5B145C21f570A38CbB95CFD8EbB923182732,9,1900
0xB5D26158102181dc4ceee75f260A60Debd752E45,9,2300
0xd01abFb4D97ff635794e9496Fc666A7d685c56C3,11,1000
0x6A8B40fB25A90a09151453aa79D569A7279f1ff6,11,1050
0x5C461A0C595d6B2a4b0f4a42fD55bE7aAeD8aF80,11,1250
0x5C461A0C595d6B2a4b0f4a42fD55bE7aAeD8aF80,11,1250
0xd01abFb4D97ff635794e9496Fc666A7d685c56C3,12,100
0x4c2b823Fc03f874666901B6Bc9ABb6485b622094,12,420
0xd01abFb4D97ff635794e9496Fc666A7d685c56C3,12,690
0x5C461A0C595d6B2a4b0f4a42fD55bE7aAeD8aF80,12,800
0x020368E24bF0E095451E1c90127d17a6fA99E8dB,12,900
0x5C461A0C595d6B2a4b0f4a42fD55bE7aAeD8aF80,12,950
0xA77867A711123636D418217164BB97A4Def6f73a,13,100
0x4c2b823Fc03f874666901B6Bc9ABb6485b622094,13,337
0x4f40B77eB388Fb1C74fcD511Db498AD4d08AB54B,13,1000
0x6e29e81925E8B7E4eBEad1a5f5e176cd55d26eDB,13,1100
0x5C461A0C595d6B2a4b0f4a42fD55bE7aAeD8aF80,13,1200
0xd01abFb4D97ff635794e9496Fc666A7d685c56C3,14,100
0x020368E24bF0E095451E1c90127d17a6fA99E8dB,14,300
0x25Db47Af3b426922DC5e31D08492518F6376299c,14,350
0xf42132A16A48eE845aAE57436e7a855Ae74073F2,14,320
0xf42132A16A48eE845aAE57436e7a855Ae74073F2,14,375
0x7BFEe91193d9Df2Ac0bFe90191D40F23c773C060,14,357
0x047F606fD5b2BaA5f5C6c4aB8958E45CB6B054B7,14,430
0x0c3F713890EDA64c55DB1d32d6A08e4876ad3AC2,14,400
0x5C461A0C595d6B2a4b0f4a42fD55bE7aAeD8aF80,14,420
0x25Db47Af3b426922DC5e31D08492518F6376299c,14,500
0x5C461A0C595d6B2a4b0f4a42fD55bE7aAeD8aF80,14,750
0x0c3F713890EDA64c55DB1d32d6A08e4876ad3AC2,14,600
0x0c3F713890EDA64c55DB1d32d6A08e4876ad3AC2,14,800
0x25Db47Af3b426922DC5e31D08492518F6376299c,14,1000
0x25Db47Af3b426922DC5e31D08492518F6376299c,15,1000
0xd01abFb4D97ff635794e9496Fc666A7d685c56C3,15,100
0xF9Ab010479644cc54A2a40e54aC25168b5044a5e,15,100
0xd01abFb4D97ff635794e9496Fc666A7d685c56C3,15,1500
0xe9976c99962cDBb8E599EA878bfE4B67ce229884,15,1700
0x5C461A0C595d6B2a4b0f4a42fD55bE7aAeD8aF80,15,1750
0xF9Ab010479644cc54A2a40e54aC25168b5044a5e,16,234
0x020368E24bF0E095451E1c90127d17a6fA99E8dB,16,500
0x5C461A0C595d6B2a4b0f4a42fD55bE7aAeD8aF80,16,600
0x020368E24bF0E095451E1c90127d17a6fA99E8dB,16,900
0x4F6092a5157003BEA7640349D6fAdCCAD915980b,16,777
0x43397A347105078cFA99196B06E3e3Dd1411d845,16,850
0x5C461A0C595d6B2a4b0f4a42fD55bE7aAeD8aF80,16,1000
0x43397A347105078cFA99196B06E3e3Dd1411d845,16,1100
0x020368E24bF0E095451E1c90127d17a6fA99E8dB,16,1100
0x5C461A0C595d6B2a4b0f4a42fD55bE7aAeD8aF80,16,1250
0x020368E24bF0E095451E1c90127d17a6fA99E8dB,16,1500
0x43397A347105078cFA99196B06E3e3Dd1411d845,16,1500
0x3854BEC598caE635F99C545DE0bCeCB37fFFE23e,16,1530
0x43397A347105078cFA99196B06E3e3Dd1411d845,16,1700
0x020368E24bF0E095451E1c90127d17a6fA99E8dB,16,1850
0x43397A347105078cFA99196B06E3e3Dd1411d845,16,1900
0x3854BEC598caE635F99C545DE0bCeCB37fFFE23e,16,2000
0x020368E24bF0E095451E1c90127d17a6fA99E8dB,16,2000
0xd01abFb4D97ff635794e9496Fc666A7d685c56C3,17,150
0xF9Ab010479644cc54A2a40e54aC25168b5044a5e,17,222
0x0eAe1cF7557115423723ab8C275Ed3ba00b9F14B,17,250
0xd01abFb4D97ff635794e9496Fc666A7d685c56C3,17,420
0x020368E24bF0E095451E1c90127d17a6fA99E8dB,17,600
0x0eAe1cF7557115423723ab8C275Ed3ba00b9F14B,17,700
0x020368E24bF0E095451E1c90127d17a6fA99E8dB,17,800
0x268E8eF615670b275418D2787521aD27A4C9c310,17,816
0x6e29e81925E8B7E4eBEad1a5f5e176cd55d26eDB,17,900
0x268E8eF615670b275418D2787521aD27A4C9c310,17,920
0x47e2D5de9273d277738D7B77779772E8e429d319,17,1000
0x6e29e81925E8B7E4eBEad1a5f5e176cd55d26eDB,17,1020
0x9f5b8f8fcc32712D32644aDd0b23978D56AF3e2d,17,1000
0x43397A347105078cFA99196B06E3e3Dd1411d845,17,1300
0x4c2b823Fc03f874666901B6Bc9ABb6485b622094,17,1111
0x268E8eF615670b275418D2787521aD27A4C9c310,17,1040.4
0x94D1204641e5Ab135D0785C17dEDec1f121706bf,17,1069
0x3cef170a51a5Bd3F2b07Cf32338142672D61ff20,17,1060
0x020368E24bF0E095451E1c90127d17a6fA99E8dB,17,1600
0x6e29e81925E8B7E4eBEad1a5f5e176cd55d26eDB,17,1120
0x9f5b8f8fcc32712D32644aDd0b23978D56AF3e2d,17,1500
0x3854BEC598caE635F99C545DE0bCeCB37fFFE23e,17,1350
0x9f5b8f8fcc32712D32644aDd0b23978D56AF3e2d,17,1700
0x020368E24bF0E095451E1c90127d17a6fA99E8dB,17,1800
0x43397A347105078cFA99196B06E3e3Dd1411d845,17,1950
0x6e29e81925E8B7E4eBEad1a5f5e176cd55d26eDB,17,2000
0x020368E24bF0E095451E1c90127d17a6fA99E8dB,17,1900
0x6e29e81925E8B7E4eBEad1a5f5e176cd55d26eDB,17,2300
